40.8998928
0,0
7.499908800000001,0
7.9001112000000004,1.9001232000000001
8.0000856,8.0000856
7.000036800000001,8.0000856
6.800088,2.2000464
5.299862400000001,1.0000488
0,1.0000488
0,0

35.5768656
0,0
7.499908800000001,0
7.9001112000000004,1.8001488
8.0000856,8.0000856
7.000036800000001,8.0000856
6.800088,2.2000464
5.299862400000001,1.1000232
0,1.0000488
0,0

30.2538384
0,0
7.499908800000001,0
7.9001112000000004,1.8001488
8.0000856,8.0000856
7.000036800000001,8.0000856
6.800088,2.2000464
5.299862400000001,1.0000488
0,1.0000488
0,0

28.303118400000002
0,0
7.499908800000001,0
7.9001112000000004,1.8001488
8.0000856,8.0000856
7.000036800000001,7.599883200000001
6.800088,2.2000464
5.299862400000001,1.1000232
0,1.1000232
0,0

